gene_name	Mutated_Patients	Frequency	MeanExpression	MutationScore	ExpressionScore	DriverScore
TP53	245	0.4851485148514851	5.874893710840807	1.0	0.4715133998900953	0.7886053599560381
TTN	219	0.4336633663366336	2.9849833627511715	0.8938775510204082	0.23957193495926937	0.6321553045959527
MUC16	200	0.396039603960396	4.317851387120187	0.8163265306122449	0.34654665904922805	0.6284145819870381
KRAS	139	0.2752475247524752	6.051093629831081	0.5673469387755102	0.48565503835244855	0.5346701786062855
RYR2	175	0.3465346534653465	1.9867643500384278	0.7142857142857143	0.1594558233008411	0.492353757891765
COL3A1	53	0.1049504950495049	10.511461471754012	0.21632653061224483	0.8436399329599344	0.4672518915513207
COL6A3	57	0.1128712871287128	9.14146128667713	0.2326530612244897	0.7336850168524889	0.4330658434756893
ZFHX4	156	0.3089108910891089	1.5809096022964177	0.6367346938775511	0.12688230599341324	0.4327937387238959
ACTB	9	0.0178217821782178	12.459653770624932	0.03673469387755098	1.0	0.4220408163265306
AHNAK	54	0.1069306930693069	8.980070059901852	0.2204081632653061	0.7207319099888153	0.42053766195470976
KEAP1	91	0.1801980198019802	6.099055752105017	0.37142857142857144	0.48950443281853007	0.4186589159845549
COL1A2	32	0.0633663366336633	10.406218903212144	0.13061224489795906	0.8351932641776936	0.4124446526098529
VCAN	68	0.1346534653465346	7.228713484732973	0.2775510204081632	0.5801696915347276	0.398598488858789
FN1	16	0.0316831683168316	11.15683919629171	0.06530612244897943	0.8954373373195363	0.3973586083972022
PLEC	46	0.091089108910891	8.849689627266793	0.18775510204081616	0.710267700064905	0.3967601412504517
EGFR	70	0.1386138613861386	6.990349353572147	0.2857142857142857	0.5610388123346333	0.3958440963624247
FLNA	31	0.0613861386138613	9.910166696177022	0.1265306122448978	0.7953805842937129	0.3940706010644239
COL11A1	102	0.201980198019802	4.459297649849553	0.416326530612245	0.3578990020062083	0.3929555191698303
EEF1A1	3	0.0059405940594059	11.966754928490671	0.012244897959183591	0.9604404061936033	0.39152310125295153
ACTG1	6	0.0118811881188118	11.710579451253187	0.024489795918367183	0.9398800052423789	0.39064587964797187
COL1A1	16	0.0316831683168316	10.88170493316592	0.06530612244897943	0.8733553221856608	0.388525802343652
SFTPB	6	0.0118811881188118	11.60920807364159	0.024489795918367183	0.9317440345743502	0.3873914913807604
B2M	8	0.0158415841584158	11.430885840038544	0.032653061224489716	0.9174320611531095	0.38656466119593763
FTL	1	0.0019801980198019	11.876157566140748	0.00408163265306106	0.9531691477768152	0.38371663870256273
MXRA5	70	0.1386138613861386	6.526213553644958	0.2857142857142857	0.5237877130286924	0.38094365664004837
IGHG1	5	0.0099009900990099	11.42279240957729	0.02040816326530612	0.9167824900967825	0.37895789399789664
IGKC	2	0.0039603960396039	11.519472245889036	0.008163265306122325	0.9245419221076204	0.3747147280267216
SYNE2	59	0.1168316831683168	6.9686959027090545	0.24081632653061222	0.5593009268956218	0.3682101666766161
MYH9	15	0.0297029702970297	10.296871374493767	0.06122448979591837	0.8264171351831482	0.3673015479508103
DST	63	0.1247524752475247	6.62594230256803	0.25714285714285706	0.5317918478753761	0.3670024534358647
EEF2	7	0.0138613861386138	10.814108883213194	0.02857142857142845	0.8679301272968516	0.3643149080615977
HUWE1	41	0.0811881188118811	8.180489867347793	0.16734693877551005	0.6565583617286573	0.363031507956769
GNAS	16	0.0316831683168316	10.075333380111188	0.06530612244897943	0.8086367057698622	0.3626383557773326
MACF1	42	0.0831683168316831	8.073054293828205	0.17142857142857132	0.6479356844458519	0.36203141663548355
PSAP	5	0.0099009900990099	10.880708155562223	0.02040816326530612	0.8732753217601235	0.3615550266632331
IGHA1	6	0.0118811881188118	10.739266442104208	0.024489795918367183	0.8619233439233492	0.35946321512036
ADAMTS12	88	0.1742574257425742	4.434563054038985	0.3591836734693877	0.35591382679460787	0.35787573479947576
LRP1	36	0.0712871287128712	8.384122577689869	0.14693877551020393	0.6729017300188873	0.3573239573136773
SRRM2	25	0.0495049504950495	9.176164286839196	0.10204081632653061	0.7364702467473904	0.3558125884948745
ENO1	3	0.0059405940594059	10.831195065718072	0.012244897959183591	0.8693014481071586	0.35506751801837366
HSP90AB1	8	0.0158415841584158	10.425637326742715	0.032653061224489716	0.8367517684417808	0.35429254411140615
HLA-B	2	0.0039603960396039	10.750224803599991	0.008163265306122325	0.8628028516285808	0.35001909983510576
RPL8	4	0.0079207920792079	10.59740341138203	0.016326530612244858	0.8505375515623579	0.3500109389922901
A2M	17	0.0336633663366336	9.596424927441488	0.0693877551020407	0.7701999673591383	0.3497126400048798
SLC34A2	10	0.0198019801980198	10.121479875063667	0.04081632653061224	0.8123403797083206	0.3494259478016956
RPL3	2	0.0039603960396039	10.684861591578846	0.008163265306122325	0.8575568621954518	0.34792070406185416
COL5A2	47	0.093069306930693	7.234036270575871	0.19183673469387744	0.5805968932805295	0.3473407981285383
COL4A1	30	0.0594059405940594	8.50744575369564	0.12244897959183675	0.6827995312159414	0.3465892002414786
COL4A2	30	0.0594059405940594	8.496374702363433	0.12244897959183675	0.6819109791312672	0.3462337794076089
AHNAK2	64	0.1267326732673267	5.896806680984679	0.26122448979591834	0.4732721141005603	0.3460435395177751
HLA-A	5	0.0099009900990099	10.310211026435192	0.02040816326530612	0.827487763002107	0.3432400031600265
